# Production SECURITY DEFINER functions in public (non-extension): ACL and effective EXECUTE (authz round-2 F3)
# Captured 20260925T044107Z via Management API /database/query read_only=true. Before migration 20260924000002 is applied.
# total definer: 65; anon-executable: 46; authenticated-executable: 53

signature | anon_x | auth_x | proacl
acknowledge_alert(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
apply_payment_to_invoice() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
attendance_guard() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
attendance_notify_guardians() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
attendance_retroactive_edit_window_days(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
audit_trigger() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
auto_assign_exam_seats(uuid,integer,integer) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
check_staff_employee_linkage() | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
cleanup_expired_backups() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
cleanup_old_audit_logs() | False | False | {postgres=X/postgres}
complete_job(uuid,integer,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
consume_rate_limit(text,integer,integer) | False | False | {postgres=X/postgres,service_role=X/postgres}
create_export_job(uuid,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
create_health_alert(uuid,text,text,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
create_import_job(uuid,text,integer) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_alerts(date,date) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_attendance_week(date) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_billing(date,date) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_can_read_finance() | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_can_read() | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_high_absence(date,date,numeric,integer) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_lowest_gpa(integer) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_missing_attendance(date,date) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_overview(uuid) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
dashboard_teaching_days(uuid,date,date) | False | False | {postgres=X/postgres,service_role=X/postgres}
exam_guard() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
fail_job(uuid,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_class_rank(uuid,uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_config(text,uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_email_for_user(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_role_for_user(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,timhirt_view_owner=X/postgres}
get_security_settings() | True | True | {postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_student_grade_history(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
get_tenant_id_for_user(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,timhirt_view_owner=X/postgres}
grade_guard() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
grade_point_for(uuid,numeric) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
guardians_lock_user_id() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
has_module(uuid,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
has_permission(uuid,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
has_resource_permission(uuid,text,text) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
is_feature_enabled(text,uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
is_guardian_of(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
is_teacher_of_class(uuid) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
jwt_user_id() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,timhirt_view_owner=X/postgres}
leave_decision_trigger() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
library_bulk_return(uuid,uuid) | True | False | {postgres=X/postgres,anon=X/postgres,service_role=X/postgres}
library_checkout_tenant_guard() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
library_checkout(uuid,uuid,uuid,library_checkout_type,date) | True | False | {postgres=X/postgres,anon=X/postgres,service_role=X/postgres}
library_hold_tenant_guard() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
library_renew(uuid,uuid) | True | False | {postgres=X/postgres,anon=X/postgres,service_role=X/postgres}
library_return(uuid,uuid) | True | False | {postgres=X/postgres,anon=X/postgres,service_role=X/postgres}
payroll_run_transition() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
record_health_metric(uuid,text,numeric,text,numeric,numeric) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
set_employee_number() | False | False | {postgres=X/postgres,service_role=X/postgres}
set_student_number() | False | False | {postgres=X/postgres,service_role=X/postgres}
set_tenant_no() | False | False | {postgres=X/postgres,service_role=X/postgres}
settle_gateway_payment(text,payment_provider,numeric) | False | False | {postgres=X/postgres}
student_capture_graduation_year() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
student_clear_transfer_fields() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
students_lock_user_id() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
timeout_stalled_backups() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
update_job_progress(uuid,integer,integer,jsonb) | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
users_lock_identity() | True | True | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}
verify_document(text) | False | False | {postgres=X/postgres,service_role=X/postgres}
verify_id_card(text) | False | True | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}
